"","stock_name","brood_year","survival_index","value"
"57","Birkenhead",2006,"SR_resid",0.43036572289303
"58","Birkenhead",2007,"SR_resid",-0.298008117783879
"59","Birkenhead",2008,"SR_resid",-0.100769117868461
"60","Birkenhead",2009,"SR_resid",-0.650991216116703
"61","Birkenhead",2010,"SR_resid",-2.19758782887751
"62","Birkenhead",2011,"SR_resid",-1.26683925767625
"63","Birkenhead",2012,"SR_resid",-0.276079279263662
"64","Birkenhead",2013,"SR_resid",-1.81034600909588
"65","Birkenhead",2014,"SR_resid",-2.83412703838097
"122","Bowron",2006,"SR_resid",1.24962686136808
"123","Bowron",2007,"SR_resid",-0.0887936135162529
"124","Bowron",2008,"SR_resid",-1.28120646001923
"125","Bowron",2009,"SR_resid",-0.415984978761636
"126","Bowron",2010,"SR_resid",-0.286848213813555
"127","Bowron",2011,"SR_resid",-1.27851295637267
"128","Bowron",2012,"SR_resid",-0.448958264229366
"129","Bowron",2013,"SR_resid",-3.76657899807243
"130","Bowron",2014,"SR_resid",-1.00319135819815
"187","Chilko",2006,"SR_resid",1.46060708402244
"188","Chilko",2007,"SR_resid",-0.0308887254014167
"189","Chilko",2008,"SR_resid",-0.434265073932136
"190","Chilko",2009,"SR_resid",0.38529783723828
"191","Chilko",2010,"SR_resid",1.51870929766449
"192","Chilko",2011,"SR_resid",0.19771074921524
"193","Chilko",2012,"SR_resid",0.0142645387748008
"194","Chilko",2013,"SR_resid",-1.63866409469691
"195","Chilko",2014,"SR_resid",0.118387368990521
"252","E.Stuart",2006,"SR_resid",-0.0235884095258546
"253","E.Stuart",2007,"SR_resid",-0.36854159987182
"254","E.Stuart",2008,"SR_resid",0.797398517862314
"255","E.Stuart",2009,"SR_resid",0.306542225988378
"256","E.Stuart",2010,"SR_resid",-0.875004702568626
"257","E.Stuart",2011,"SR_resid",0.48067594986311
"258","E.Stuart",2012,"SR_resid",-1.10594629027971
"259","E.Stuart",2013,"SR_resid",-2.77552980656922
"260","E.Stuart",2014,"SR_resid",-0.391618684657425
"303","Fennell",2006,"SR_resid",0.274719773236241
"304","Fennell",2007,"SR_resid",-1.30751327785925
"305","Fennell",2008,"SR_resid",0.698291626563255
"306","Fennell",2009,"SR_resid",-0.32237134494849
"307","Fennell",2010,"SR_resid",-0.177520797975414
"308","Fennell",2011,"SR_resid",-2.59325644049247
"309","Fennell",2012,"SR_resid",-1.46380921099104
"310","Fennell",2013,"SR_resid",-2.76146535841234
"311","Fennell",2014,"SR_resid",-0.833334722730942
"350","Gates",2006,"SR_resid",0.990337866727534
"351","Gates",2007,"SR_resid",2.46731940055161
"352","Gates",2008,"SR_resid",0.906764601998679
"353","Gates",2009,"SR_resid",0.450906844399479
"354","Gates",2010,"SR_resid",-0.740304861860851
"355","Gates",2011,"SR_resid",-0.231147951215527
"356","Gates",2012,"SR_resid",-0.109153978191419
"357","Gates",2013,"SR_resid",0.382737877444286
"358","Gates",2014,"SR_resid",-1.37716562785624
"415","Harrison",2006,"SR_resid",1.07017764412106
"416","Harrison",2007,"SR_resid",1.30259479491901
"417","Harrison",2008,"SR_resid",1.18199741656538
"418","Harrison",2009,"SR_resid",-0.495958986830574
"419","Harrison",2010,"SR_resid",1.80958084023863
"420","Harrison",2011,"SR_resid",0.69096343611056
"421","Harrison",2012,"SR_resid",-0.51486879193369
"422","Harrison",2013,"SR_resid",-1.08883708095772
"423","Harrison",2014,"SR_resid",-1.32005883454396
"480","L.Shuswap",2006,"SR_resid",0.793422307553184
"481","L.Shuswap",2007,"SR_resid",0.393202735523489
"482","L.Shuswap",2008,"SR_resid",2.30839208071176
"483","L.Shuswap",2009,"SR_resid",0.158944996920779
"484","L.Shuswap",2010,"SR_resid",0.33121463228102
"485","L.Shuswap",2011,"SR_resid",-2.45594693983033
"486","L.Shuswap",2012,"SR_resid",2.00110064281957
"487","L.Shuswap",2013,"SR_resid",-3.21084502361583
"488","L.Shuswap",2014,"SR_resid",-0.375699293003899
"545","L.Stuart",2006,"SR_resid",0.116009491673281
"546","L.Stuart",2007,"SR_resid",-0.909914237838215
"547","L.Stuart",2008,"SR_resid",-0.799779079170841
"548","L.Stuart",2009,"SR_resid",-0.465229188418885
"549","L.Stuart",2010,"SR_resid",-0.366224861966881
"550","L.Stuart",2011,"SR_resid",-0.734988587499742
"551","L.Stuart",2012,"SR_resid",-1.70954381435929
"552","L.Stuart",2013,"SR_resid",-0.78400170462408
"553","L.Stuart",2014,"SR_resid",-0.307344369522045
"587","Nadina",2006,"SR_resid",0.76101796994768
"588","Nadina",2007,"SR_resid",0.440171085694967
"589","Nadina",2008,"SR_resid",0.262191956095976
"590","Nadina",2009,"SR_resid",-0.422092858758246
"591","Nadina",2010,"SR_resid",1.04572490170979
"592","Nadina",2011,"SR_resid",0.0155533897796066
"593","Nadina",2012,"SR_resid",-1.05440346853844
"594","Nadina",2013,"SR_resid",-2.0479492309041
"595","Nadina",2014,"SR_resid",0.800066628078074
"652","Pitt",2006,"SR_resid",-0.0983590113828825
"653","Pitt",2007,"SR_resid",0.120920179249645
"654","Pitt",2008,"SR_resid",0.629286548510264
"655","Pitt",2009,"SR_resid",-0.249717762759789
"656","Pitt",2010,"SR_resid",-0.155742343267508
"657","Pitt",2011,"SR_resid",0.508782527675962
"658","Pitt",2012,"SR_resid",0.146481537253401
"659","Pitt",2013,"SR_resid",-0.887642039376192
"660","Pitt",2014,"SR_resid",-4.10335760309632
"713","Portage",2006,"SR_resid",0.697408327299414
"714","Portage",2007,"SR_resid",-1.12356752307804
"715","Portage",2008,"SR_resid",-0.596340607888012
"716","Portage",2009,"SR_resid",0.00867763682216541
"717","Portage",2010,"SR_resid",0.860076407844352
"718","Portage",2011,"SR_resid",-3.46516416664105
"719","Portage",2012,"SR_resid",0.0282637938878047
